0.0988,0.244,0.269,0.388,0
0.128,0.245,0.276,0.351,0
0.175,0.219,0.287,0.319,0
0.18,0.208,0.301,0.312,0
0.119,0.182,0.33,0.368,0
0.153,0.235,0.265,0.347,0
0.13,0.245,0.258,0.367,0
0.149,0.211,0.277,0.364,0
0.187,0.205,0.3,0.308,0
0.153,0.23,0.28,0.337,0
0.124,0.215,0.307,0.354,0
0.225,0.232,0.25,0.292,0
0.178,0.26,0.261,0.301,0
0.115,0.222,0.31,0.353,1
0.0438,0.248,0.323,0.385,1
0.0861,0.249,0.273,0.393,1
0.137,0.231,0.233,0.399,1
0.0521,0.194,0.358,0.396,1
0.0473,0.197,0.372,0.383,1
0.0616,0.215,0.352,0.372,1
0.127,0.232,0.321,0.321,1
0.128,0.217,0.287,0.368,1
0.103,0.21,0.303,0.384,1
0.113,0.218,0.31,0.359,1
0.0688,0.185,0.356,0.39,1
0.103,0.211,0.327,0.36,1
0.189,0.198,0.281,0.332,2
0.186,0.216,0.271,0.328,2
0.2,0.208,0.28,0.311,2
0.104,0.246,0.325,0.325,2
0.178,0.207,0.297,0.318,2
0.131,0.245,0.29,0.334,2
0.164,0.225,0.286,0.325,2
0.174,0.227,0.275,0.324,2
0.179,0.249,0.265,0.307,3
0.147,0.262,0.268,0.323,3
0.184,0.247,0.249,0.32,3
0.15,0.224,0.303,0.323,3
0.174,0.256,0.261,0.309,3
0.0756,0.208,0.351,0.366,3
0.182,0.213,0.281,0.325,3
0.136,0.27,0.28,0.314,3
0.192,0.222,0.267,0.318,3
0.112,0.273,0.279,0.337,3
0.17,0.243,0.271,0.316,3
0.109,0.252,0.305,0.334,0
0.093,0.256,0.29,0.361,0
0.19,0.202,0.303,0.305,0
0.119,0.182,0.328,0.371,0
0.14,0.216,0.287,0.357,0
0.162,0.217,0.288,0.334,0
0.129,0.23,0.296,0.345,0
0.109,0.209,0.317,0.365,0
0.0943,0.198,0.34,0.367,0
0.0927,0.249,0.291,0.367,0
0.111,0.223,0.283,0.383,0
0.182,0.255,0.258,0.304,0
0.0939,0.236,0.299,0.371,1
0.108,0.241,0.301,0.35,1
0.0844,0.223,0.278,0.415,1
0.113,0.215,0.308,0.363,1
0.0696,0.191,0.363,0.377,1
0.0796,0.229,0.309,0.382,1
0.183,0.233,0.281,0.303,2
0.174,0.221,0.297,0.308,2
0.107,0.189,0.335,0.369,2
0.162,0.256,0.259,0.323,2
0.162,0.195,0.303,0.341,2
0.171,0.208,0.282,0.339,2
0.186,0.216,0.282,0.316,2
0.155,0.23,0.291,0.324,2
0.18,0.228,0.28,0.311,3
0.181,0.243,0.273,0.303,3
0.163,0.252,0.287,0.298,3
0.183,0.243,0.255,0.319,3
0.151,0.253,0.285,0.311,3
0.169,0.214,0.294,0.323,3
0.162,0.256,0.261,0.321,3
0.136,0.245,0.275,0.343,3
0.103,0.262,0.282,0.354,3
0.18,0.206,0.303,0.312,3